比容量(mAh/g)	电压(V)	
151.90	1.6604	
152.08	1.6606	
152.26	1.6612	
152.44	1.6611	
152.63	1.6614	
152.81	1.6617	
152.99	1.6618	
153.18	1.6612	
153.36	1.6612	
153.54	1.6616	
153.73	1.6619	
153.91	1.6628	
154.09	1.6618	
154.28	1.6625	
154.46	1.6637	
154.64	1.6642	
154.83	1.6643	
155.01	1.6644	
155.19	1.6644	
155.38	1.3751	
155.56	1.3646	
155.74	1.4155	
155.93	1.4593	
156.11	1.4997	
156.29	1.5389	
156.48	1.5738	
156.66	1.5948	
156.84	1.6116	
157.03	1.6201	
157.21	1.6287	
157.39	1.6341	
157.58	1.6402	
157.76	1.6437	
157.94	1.6464	
158.12	1.6492	
158.31	1.6514	
158.49	1.6533	
158.67	1.6543	
158.86	1.6547	
159.04	1.6547	
159.22	1.6540	
159.41	1.6550	
159.59	1.6546	
159.77	1.6555	
159.96	1.6553	
160.14	1.6558	
160.32	1.6549	
160.51	1.6538	
160.69	1.6527	
160.87	1.6518	
161.06	1.6529	
161.24	1.6542	
161.42	1.6559	
161.61	1.6563	
161.79	1.6563	
161.97	1.6551	
162.16	1.6536	
162.34	1.6540	
162.52	1.6546	
162.71	1.6564	
162.89	1.6561	
163.07	1.6565	
163.26	1.6546	
163.44	1.6551	
163.62	1.6559	
163.80	1.6565	
163.99	1.6553	
164.17	1.6546	
164.35	1.6538	
164.54	1.6539	
164.72	1.6533	
164.90	1.6526	
165.09	1.6525	
165.27	1.6531	
165.45	1.6530	
165.64	1.3732	
165.82	1.3452	
166.00	1.3956	
166.19	1.4389	
166.37	1.4745	
166.55	1.5161	
166.74	1.5518	
166.92	1.5758	
167.10	1.5913	
167.29	1.6060	
167.47	1.6138	
167.65	1.6221	
167.84	1.6294	
168.02	1.6343	
168.20	1.6372	
168.39	1.6395	
168.57	1.6395	
168.75	1.6413	
168.94	1.6425	
169.12	1.6451	
169.30	1.6463	
169.48	1.6461	
169.67	1.6460	
169.85	1.6454	
170.03	1.6466	
170.22	1.6466	
170.40	1.6459	
170.58	1.6456	
170.77	1.6451	
170.95	1.6447	
171.13	1.6449	
171.32	1.6456	
171.50	1.6478	
171.68	1.6481	
171.87	1.6485	
172.05	1.6481	
172.23	1.6478	
172.42	1.6472	
172.60	1.6469	
172.78	1.6465	
172.97	1.6467	
173.15	1.6490	
173.33	1.6494	
173.52	1.6486	
173.70	1.6495	
173.88	1.6488	
174.07	1.6484	
174.25	1.6477	
174.43	1.6475	
174.62	1.6479	
174.80	1.4730	
174.98	1.3178	
175.16	1.3415	
175.35	1.3953	
175.53	1.4407	
175.71	1.4739	
175.90	1.5136	
176.08	1.5489	
176.26	1.5726	
176.45	1.5897	
176.63	1.6013	
176.81	1.6088	
177.00	1.6153	
177.18	1.6208	
177.36	1.6263	
177.55	1.6290	
177.73	1.6309	
177.91	1.6325	
178.10	1.6337	
178.28	1.6358	
178.46	1.6366	
178.65	1.6384	
178.83	1.6394	
